City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Batemans Bay,AU,66.0,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
1,New Norfolk,AU,55.99,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
2,Cape Town,ZA,68.0,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
5,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
7,Ushuaia,AR,60.8,light rain,-54.8,-68.3,Albatros Hotel
10,Hobart,AU,57.0,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,Port Alfred,ZA,70.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
14,Rawson,AR,68.9,clear sky,-43.3002,-65.1023,Hosteria Sampedro
15,Port Elizabeth,ZA,68.0,broken clouds,-33.918,25.5701,39 On Nile Guest House
19,Matara,LK,72.82,clear sky,5.9485,80.5353,Amaloh Boutique Resort
21,East London,ZA,71.6,light rain,-33.0153,27.9116,Tu Casa
29,Hermanus,ZA,62.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
30,Nagaur,IN,56.1,clear sky,27.2,73.7333,Ranvas Nagaur
31,Foz,ES,54.0,light rain,43.5692,-7.2544,Hotel Balcón de San Bartolo
32,Cabo San Lucas,MX,71.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
33,Pacific Grove,US,52.0,scattered clouds,36.6177,-121.9166,Lovers Point Inn
34,Punta Arenas,CL,59.0,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
36,Ihosy,MG,70.72,moderate rain,-22.4,46.1167,Tamana Hôtel
53,Taltal,CL,71.62,few clouds,-25.4,-70.4833,Residencial Karime
54,Victoria,HK,64.99,scattered clouds,22.2855,114.1577,Mini Hotel Central
55,Ribeira Grande,PT,62.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
60,Estelle,US,62.01,overcast clouds,29.8458,-90.1067,Ohio
65,Tuy Hoa,VN,67.95,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
68,Bluff,NZ,53.01,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
69,Busselton,AU,61.0,overcast clouds,-33.65,115.3333,Observatory Guest House
