City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Batemans Bay,AU,2021-01-23 19:39:37,-35.7167,150.1833,66.0,94,10,1.01,clear sky
1,New Norfolk,AU,2021-01-23 19:39:57,-42.7826,147.0587,55.99,74,5,2.53,clear sky
2,Cape Town,ZA,2021-01-23 19:38:58,-33.9258,18.4232,68.0,94,75,14.97,light rain
3,Sept-Iles,CA,2021-01-23 19:39:00,50.2001,-66.3821,21.0,79,100,10.36,light snow
4,Butaritari,KI,2021-01-23 19:39:15,3.0707,172.7902,79.45,81,95,11.86,overcast clouds
5,Salalah,OM,2021-01-23 19:39:58,17.0151,54.0924,73.4,23,0,10.36,clear sky
6,Gamba,GA,2021-01-23 19:39:58,-2.65,10.0,77.02,87,100,1.61,overcast clouds
7,Ushuaia,AR,2021-01-23 19:39:28,-54.8,-68.3,60.8,41,75,10.58,light rain
8,Ketchikan,US,2021-01-23 19:39:58,55.3422,-131.6461,32.0,100,90,5.75,mist
9,Saint-Felicien,CA,2021-01-23 19:39:58,48.6501,-72.4491,12.2,67,20,17.27,few clouds
10,Hobart,AU,2021-01-23 19:38:58,-42.8794,147.3294,57.0,94,20,5.75,few clouds
11,Hithadhoo,MV,2021-01-23 19:39:58,-0.6,73.0833,82.4,67,100,4.88,overcast clouds
12,Port Alfred,ZA,2021-01-23 19:39:59,-33.5906,26.891,70.0,93,92,7.0,overcast clouds
13,Cintalapa,MX,2021-01-23 19:39:59,16.6951,-93.7272,82.13,55,100,5.35,overcast clouds
14,Rawson,AR,2021-01-23 19:39:59,-43.3002,-65.1023,68.9,56,0,21.61,clear sky
15,Port Elizabeth,ZA,2021-01-23 19:39:08,-33.918,25.5701,68.0,88,75,20.71,broken clouds
16,Catamarca,AR,2021-01-23 19:39:59,-28.4696,-65.7852,89.01,50,40,11.9,light rain
17,Ongandjera,NA,2021-01-23 19:39:59,-17.8833,15.0667,77.31,51,100,12.17,overcast clouds
