City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-01-20 21:04:31,-33.65,115.3333,64.99,89,6,3.0
1,Punta Arenas,CL,2021-01-20 21:08:11,-53.15,-70.9167,62.6,45,0,23.02
2,Puerto Ayora,EC,2021-01-20 21:05:08,-0.7393,-90.3518,86.0,62,20,9.22
3,Port Elizabeth,ZA,2021-01-20 21:06:21,-33.918,25.5701,69.01,77,2,5.01
4,Ushuaia,AR,2021-01-20 21:08:12,-54.8,-68.3,62.6,31,40,5.75
5,Ilulissat,GL,2021-01-20 21:08:12,69.2167,-51.1,21.2,73,100,2.3
6,Axim,GH,2021-01-20 21:08:12,4.8699,-2.2405,79.03,86,100,8.63
7,Yellowknife,CA,2021-01-20 21:08:12,62.456,-114.3525,-0.99,71,90,9.22
8,Nola,IT,2021-01-20 21:08:12,40.922,14.5329,50.0,80,89,1.01
9,Goba,ET,2021-01-20 21:08:12,7.0167,39.9833,51.3,47,87,1.88
10,Mwinilunga,ZM,2021-01-20 21:08:12,-11.7358,24.4293,63.27,93,100,2.17
11,Sliema,MT,2021-01-20 21:08:12,35.9125,14.5019,57.0,67,40,9.22
12,Laguna,US,2021-01-20 21:08:13,38.421,-121.4238,64.4,20,1,4.61
13,Garowe,SO,2021-01-20 21:08:13,8.4054,48.4845,72.54,72,36,13.76
14,Xining,CN,2021-01-20 21:08:13,36.6167,101.7667,22.06,67,89,1.99
15,Baikunthpur,IN,2021-01-20 21:08:13,23.25,82.55,53.83,49,0,3.36
16,Carnarvon,AU,2021-01-20 21:08:13,-24.8667,113.6333,77.0,94,40,14.97
17,Alofi,NU,2021-01-20 21:08:13,-19.0595,-169.9187,86.0,37,75,6.91
18,Kenai,US,2021-01-20 21:08:13,60.5544,-151.2583,33.01,80,90,14.97
19,Ponta Do Sol,PT,2021-01-20 21:08:14,32.6667,-17.1,60.01,72,41,1.01
20,Hobart,AU,2021-01-20 21:06:26,-42.8794,147.3294,51.01,87,0,6.91
21,Salinopolis,BR,2021-01-20 21:08:14,-0.6136,-47.3561,79.25,83,100,6.8
22,Faizabad,IN,2021-01-20 21:08:14,26.7833,82.1333,52.48,62,0,7.43
23,Cidreira,BR,2021-01-20 21:06:48,-30.1811,-50.2056,74.07,74,69,12.93
24,Castro,BR,2021-01-20 21:08:14,-24.7911,-50.0119,67.53,94,100,3.78
25,Johi,PK,2021-01-20 21:08:14,26.6921,67.6133,59.02,36,0,2.89
26,Mahebourg,MU,2021-01-20 21:08:15,-20.4081,57.7,78.8,94,40,4.61
27,Puerto Escondido,MX,2021-01-20 21:08:15,15.85,-97.0667,84.2,70,20,8.05
28,Kapaa,US,2021-01-20 21:08:15,22.0752,-159.319,77.0,78,90,12.66
29,Carutapera,BR,2021-01-20 21:08:15,-1.195,-46.02,77.27,88,100,5.88
30,Hermanus,ZA,2021-01-20 21:08:15,-34.4187,19.2345,66.0,78,4,5.01
31,Grindavik,IS,2021-01-20 21:08:16,63.8424,-22.4338,28.4,74,75,25.32
32,Cap Malheureux,MU,2021-01-20 21:08:16,-19.9842,57.6142,81.0,84,33,3.0
33,Namatanai,PG,2021-01-20 21:08:16,-3.6667,152.4333,80.47,69,91,6.17
34,Kaliganj,BD,2021-01-20 21:08:16,23.4095,89.1402,61.0,56,0,6.04
35,Saint-Francois,FR,2021-01-20 21:08:16,46.4154,3.9054,53.6,54,0,24.16
36,Atuona,PF,2021-01-20 21:08:16,-9.8,-139.0333,77.88,76,48,16.42
37,Elizabethtown,US,2021-01-20 21:05:43,37.694,-85.8591,39.99,41,1,8.05
38,Mbengwi,CM,2021-01-20 21:08:16,6.0167,10.0,64.24,32,16,1.21
39,Diamantino,BR,2021-01-20 21:08:17,-14.4086,-56.4461,82.2,79,80,3.22
